        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     183.6   0.00017   0.00034   0.00033   0.00046   0.00155   0.00192   0.08084   0.13125   0.27460   0.59954   0.70280   0.70280   0.79579   0.81126   0.82112   0.83118
     183.7   0.00017   0.00035   0.00033   0.00046   0.00156   0.00194   0.08135   0.13201   0.27597   0.60186   0.70530   0.70530   0.79834   0.81380   0.82365   0.83369
     183.8   0.00017   0.00035   0.00034   0.00047   0.00158   0.00195   0.08186   0.13278   0.27734   0.60419   0.70780   0.70780   0.80090   0.81635   0.82618   0.83621
     183.9   0.00017   0.00035   0.00034   0.00047   0.00159   0.00197   0.08237   0.13354   0.27872   0.60652   0.71031   0.71031   0.80346   0.81890   0.82872   0.83872
     184.0   0.00018   0.00036   0.00035   0.00048   0.00161   0.00199   0.08289   0.13432   0.28011   0.60887   0.71282   0.71282   0.80603   0.82146   0.83126   0.84125
     184.1   0.00018   0.00036   0.00035   0.00048   0.00162   0.00201   0.08340   0.13509   0.28150   0.61121   0.71535   0.71535   0.80860   0.82402   0.83381   0.84377
     184.2   0.00018   0.00037   0.00035   0.00049   0.00164   0.00203   0.08393   0.13587   0.28289   0.61357   0.71787   0.71787   0.81118   0.82658   0.83636   0.84631
     184.3   0.00018   0.00037   0.00036   0.00049   0.00165   0.00205   0.08445   0.13665   0.28430   0.61593   0.72041   0.72041   0.81376   0.82916   0.83892   0.84884
     184.4   0.00018   0.00037   0.00036   0.00050   0.00167   0.00207   0.08498   0.13744   0.28570   0.61830   0.72295   0.72295   0.81635   0.83173   0.84149   0.85139
     184.5   0.00019   0.00038   0.00036   0.00050   0.00168   0.00209   0.08551   0.13823   0.28711   0.62067   0.72549   0.72549   0.81895   0.83432   0.84406   0.85393
     184.6   0.00019   0.00038   0.00037   0.00051   0.00170   0.00211   0.08604   0.13902   0.28853   0.62305   0.72804   0.72804   0.82155   0.83690   0.84663   0.85649
     184.7   0.00019   0.00039   0.00037   0.00051   0.00172   0.00213   0.08657   0.13982   0.28996   0.62544   0.73060   0.73060   0.82415   0.83950   0.84921   0.85904
     184.8   0.00019   0.00039   0.00038   0.00052   0.00173   0.00215   0.08711   0.14062   0.29138   0.62784   0.73317   0.73317   0.82676   0.84209   0.85179   0.86160
     184.9   0.00019   0.00039   0.00038   0.00052   0.00175   0.00217   0.08765   0.14143   0.29282   0.63024   0.73574   0.73574   0.82938   0.84470   0.85438   0.86417
     185.0   0.00020   0.00040   0.00038   0.00053   0.00177   0.00219   0.08819   0.14224   0.29426   0.63264   0.73831   0.73831   0.83200   0.84731   0.85698   0.86674
     185.1   0.00020   0.00040   0.00039   0.00053   0.00178   0.00221   0.08874   0.14305   0.29570   0.63506   0.74090   0.74090   0.83463   0.84992   0.85958   0.86932
     185.2   0.00020   0.00041   0.00039   0.00054   0.00180   0.00223   0.08929   0.14386   0.29715   0.63748   0.74348   0.74348   0.83726   0.85254   0.86218   0.87190
     185.3   0.00020   0.00041   0.00040   0.00054   0.00182   0.00225   0.08984   0.14468   0.29861   0.63991   0.74608   0.74608   0.83990   0.85516   0.86479   0.87449
     185.4   0.00020   0.00042   0.00040   0.00055   0.00183   0.00227   0.09039   0.14551   0.30007   0.64234   0.74868   0.74868   0.84254   0.85779   0.86740   0.87708
     185.5   0.00021   0.00042   0.00040   0.00056   0.00185   0.00229   0.09095   0.14634   0.30154   0.64478   0.75129   0.75129   0.84519   0.86043   0.87002   0.87967
     185.6   0.00021   0.00042   0.00041   0.00056   0.00187   0.00231   0.09151   0.14717   0.30301   0.64723   0.75390   0.75390   0.84785   0.86307   0.87265   0.88227
     185.7   0.00021   0.00043   0.00041   0.00057   0.00189   0.00233   0.09207   0.14800   0.30449   0.64968   0.75653   0.75653   0.85051   0.86572   0.87528   0.88488
     185.8   0.00021   0.00043   0.00042   0.00057   0.00190   0.00235   0.09264   0.14884   0.30597   0.65214   0.75915   0.75915   0.85317   0.86837   0.87791   0.88749
     185.9   0.00022   0.00044   0.00042   0.00058   0.00192   0.00237   0.09321   0.14968   0.30746   0.65461   0.76179   0.76179   0.85584   0.87102   0.88055   0.89011
     186.0   0.00022   0.00044   0.00043   0.00059   0.00194   0.00240   0.09378   0.15053   0.30896   0.65708   0.76443   0.76443   0.85852   0.87368   0.88320   0.89273
     186.1   0.00022   0.00045   0.00043   0.00059   0.00196   0.00242   0.09435   0.15138   0.31046   0.65956   0.76707   0.76707   0.86120   0.87635   0.88585   0.89535
     186.2   0.00022   0.00045   0.00044   0.00060   0.00198   0.00244   0.09493   0.15224   0.31197   0.66205   0.76972   0.76972   0.86389   0.87902   0.88850   0.89798
     186.3   0.00023   0.00046   0.00044   0.00060   0.00199   0.00246   0.09551   0.15309   0.31348   0.66454   0.77238   0.77238   0.86658   0.88170   0.89117   0.90062
     186.4   0.00023   0.00046   0.00044   0.00061   0.00201   0.00249   0.09609   0.15396   0.31500   0.66704   0.77505   0.77505   0.86928   0.88438   0.89383   0.90326
